catalog_id,group,ordinal,source_name,official_url,additional_official_urls,access_structure,audience_fields,policy_notes,recommendation,priority,implementation_status,connector_id,implementation_note,verification_status,verified_at,source_document
regional_portals:024,regional_portals,24,대구광역시 통합예약,https://yeyak.daegu.go.kr/,,200; robots 허용이나 SPA에 NetFunnel 스크립트·대기 호스트 확인,"SPA 라우트 /expr, /lect; 내부 /api/v1/res/cmmn/ 흔적",비공개 API 역공학·대기열 우회 금지. 공식 API 협의 전 P3,비공개 API 역공학·대기열 우회 금지. 공식 API 협의 전 P3,P3,policy_or_access_blocked,,"No automated collector until an official API, permission, or partnership exists.",official_page_verified,2026-07-15,docs/research/regional-portals.md
regional_portals:025,regional_portals,25,대구 북구 통합예약,https://www.buk.daegu.kr/reserve/index.do?menu_id=00002964,,200; robots는 파일·게시판 일부 제한,"공개 SSR; 프로그램, 기관, 신청/운영일, 대상, 상태",하루 1회 HTML. P2,하루 1회 HTML. P2,P2,researched_not_implemented,,Verified candidate; requires a source-specific contract and policy approval.,official_page_verified,2026-07-15,docs/research/regional-portals.md
regional_portals:026,regional_portals,26,대구 서구 통합예약,https://dgs.go.kr/reserve/main.do,,200; robots는 검색만 차단,"공개 SSR, 체험·교육 카테고리와 어린이 건강 프로그램",목록 중심 수집. P2,목록 중심 수집. P2,P2,researched_not_implemented,,Verified candidate; requires a source-specific contract and policy approval.,official_page_verified,2026-07-15,docs/research/regional-portals.md
regional_portals:027,regional_portals,27,광주광역시 바로예약 교육 / 체험,https://www.gwangju.go.kr/reserve/bookingList.do?pageId=reserve1&searchCate1=A,https://www.gwangju.go.kr/reserve/bookingList.do?pageId=reserve44&searchCate1=B,200; robots에 Googlebot 전체 차단 규칙이 있어 일반 UA 정책도 전문 검토 필요,"bookingCode, pageId, searchCate1=A/B; 제목, 상태, 기간, 기관, 대상, 요금",Googlebot 가장 금지. 보수적 UA·정책 확인 후 P2,Googlebot 가장 금지. 보수적 UA·정책 확인 후 P2,P2,researched_not_implemented,,Verified candidate; requires a source-specific contract and policy approval.,official_page_verified,2026-07-15,docs/research/regional-portals.md
regional_portals:028,regional_portals,28,광주광역시유아교육진흥원,https://iedu.gen.go.kr/,,200; robots 404,"가족·유아 체험 프로그램 공개 SSR, 신청 공지/회차/대상",초등 연계·가족 허용 프로그램만. P2,초등 연계·가족 허용 프로그램만. P2,P2,researched_not_implemented,,Verified candidate; requires a source-specific contract and policy approval.,official_page_verified,2026-07-15,docs/research/regional-portals.md
regional_portals:029,regional_portals,29,대전 OK예약 견학·체험,https://www.daejeon.go.kr/okr2019/expRsvtList.do,,200; robots Disallow: /,공개 화면은 있으나 전체 자동 접근 금지,"링크만 제공, 자동 수집 금지. P3","링크만 제공, 자동 수집 금지. P3",P3,policy_or_access_blocked,,"No automated collector until an official API, permission, or partnership exists.",official_page_verified,2026-07-15,docs/research/regional-portals.md
regional_portals:030,regional_portals,30,대전유아교육진흥원,https://www.dje-i.go.kr/djei/main.do,,200; robots Disallow: /,가족 주말체험 등 공개 메뉴,자동 수집 금지. P3,자동 수집 금지. P3,P3,policy_or_access_blocked,,"No automated collector until an official API, permission, or partnership exists.",official_page_verified,2026-07-15,docs/research/regional-portals.md
regional_portals:031,regional_portals,31,울산광역시 공공시설예약서비스,https://www.ulsan.go.kr/y/yes,,공식 진입 URL이나 기준일 HEAD 405·GET 리다이렉트/타임아웃 혼재; 시 루트 robots는 일부 관리 경로 외 허용,통합 교육·체험·시설 UI,안정된 canonical/공식 피드 확인 전 P3,안정된 canonical/공식 피드 확인 전 P3,P3,policy_or_access_blocked,,"No automated collector until an official API, permission, or partnership exists.",official_page_verified,2026-07-15,docs/research/regional-portals.md
regional_portals:032,regional_portals,32,울산유아교육진흥원,https://use.go.kr/uskids/index.do,,200; robots 404,"체험교육·가족체험 안내, 교육청 통합예약 연결",가족/초등 허용 공지만 하루 1회. P2,가족/초등 허용 공지만 하루 1회. P2,P2,researched_not_implemented,,Verified candidate; requires a source-specific contract and policy approval.,official_page_verified,2026-07-15,docs/research/regional-portals.md
regional_portals:033,regional_portals,33,세종시 통합예약시스템,https://onestop.sejong.go.kr/,,200 후 /Usr/main/main.do; robots Disallow: /,시설·실내놀이터·교육 예약,자동 수집 금지. P3,자동 수집 금지. P3,P3,policy_or_access_blocked,,"No automated collector until an official API, permission, or partnership exists.",official_page_verified,2026-07-15,docs/research/regional-portals.md
regional_portals:034,regional_portals,34,세종SW교육체험센터 개인체험,https://edu.sje.go.kr/sw/sub.do?menukey=4203,,"200; robots에서 일반 UA 허용, Googlebot 별도 차단","Switch ON 등 회차형 SW체험; 제목, 일시, 학년/대상, 신청기간, 정원","일반 식별 UA, 하루 1회. P2","일반 식별 UA, 하루 1회. P2",P2,researched_not_implemented,,Verified candidate; requires a source-specific contract and policy approval.,official_page_verified,2026-07-15,docs/research/regional-portals.md
regional_portals:035,regional_portals,35,원주시 통합예약,https://yeyak.wonju.go.kr/,,200; robots 404. 원주시 공식 안내가 교육강좌·통합예약 경로 확인,"공개 SSR; 강좌/체험명, 기관, 대상, 접수/운영일, 상태",하루 1회. P2,하루 1회. P2,P2,researched_not_implemented,,Verified candidate; requires a source-specific contract and policy approval.,official_page_verified,2026-07-15,docs/research/regional-portals.md
regional_portals:036,regional_portals,36,춘천도시공사 통합예약,https://rev.cuc.or.kr/www/1,,200; robots 허용,"주로 체육시설·강좌, 일부 가족 프로그램",현재 체험 적합도가 낮아 감시 목록만. P3,현재 체험 적합도가 낮아 감시 목록만. P3,P3,policy_or_access_blocked,,"No automated collector until an official API, permission, or partnership exists.",official_page_verified,2026-07-15,docs/research/regional-portals.md
regional_portals:037,regional_portals,37,충청북도교육청 통합예약 체험,https://www.cbe.go.kr/yeyak/exprn/selectExprnList.do?mi=11424,,"200; robots의 /common, /comm 외 허용","교육청 공통 키; 기관, 체험명, 운영/신청기간, 대상, 신청구분, 상태",교육청 공통 어댑터. P1,교육청 공통 어댑터. P1,P1,implemented_opt_in,chungbuk_education_experience,"Shared education-office adapter; public list/detail GET only, no application.",official_page_verified,2026-07-15,docs/research/regional-portals.md
regional_portals:038,regional_portals,38,청주시 통합예약 체험,https://ticket.cheongju.go.kr/www/selectExprnWebList.do?key=8,,200; robots 404,"selectExprnWebList/View; 교육은 selectEduLctreWebList, lctreNo, key, 페이지",SelectWebListAdapter. P1,SelectWebListAdapter. P1,P1,implemented_opt_in,cheongju_experience_reservation,Shared municipal adapter; public list/detail facts only. Gimpo remains robots-blocked; Anyang remains TLS-runtime-blocked.,official_page_verified,2026-07-15,docs/research/regional-portals.md
regional_portals:039,regional_portals,39,충주시 통합예약,https://www.chungju.go.kr/rev/reserve/1,,200; robots 문법이 불명확해 정책 재확인 필요,"문화체험·교육 공개 SSR, 목록·상세 ID","하루 1회, 문의 권장. P2","하루 1회, 문의 권장. P2",P2,researched_not_implemented,,Verified candidate; requires a source-specific contract and policy approval.,official_page_verified,2026-07-15,docs/research/regional-portals.md
regional_portals:040,regional_portals,40,충청북도교육문화원 통합예약,https://www.cbec.go.kr/reserve/main.php,,200; robots Disallow: /,공연·체험·강좌 예약,자동 수집 금지. P3,자동 수집 금지. P3,P3,policy_or_access_blocked,,"No automated collector until an official API, permission, or partnership exists.",official_page_verified,2026-07-15,docs/research/regional-portals.md
regional_portals:041,regional_portals,41,아산시 통합예약,https://www.asan.go.kr/yeyak/,,200; robots 404,"평생학습/교육·체험 SSR, 제목·기관·신청/운영일·대상·상태",하루 1회. P2,하루 1회. P2,P2,researched_not_implemented,,Verified candidate; requires a source-specific contract and policy approval.,official_page_verified,2026-07-15,docs/research/regional-portals.md
regional_portals:042,regional_portals,42,천안시 통합예약,https://gongyoo.cheonan.go.kr/,,공식 시 사이트 연결 확인; 기준일 환경에서 403/WAF,공유·교육·체험 통합 UI,"WAF 우회 금지, 기관 API 협의만. P3","WAF 우회 금지, 기관 API 협의만. P3",P3,policy_or_access_blocked,,"No automated collector until an official API, permission, or partnership exists.",official_page_verified,2026-07-15,docs/research/regional-portals.md
regional_portals:043,regional_portals,43,장수군 통합예약,https://www.jangsu.go.kr/reserve/index.jangsu?menuCd=DOM_000000503002000000,,200; robots는 이미지·업로드·게시판 일부만 제한,".jangsu DOM CMS; menuCd, 공연/문화행사·체험·교육, 세부 ID",RegionalDOMCmsAdapter. P2,RegionalDOMCmsAdapter. P2,P2,researched_not_implemented,,Verified candidate; requires a source-specific contract and policy approval.,official_page_verified,2026-07-15,docs/research/regional-portals.md
regional_portals:044,regional_portals,44,전주관광 프로그램 예약,https://tour.jeonju.go.kr/index.jeonju?menuCd=DOM_000000102002001000,,200; robots 허용,".jeonju DOM CMS; facSid, 프로그램, 일정, 대상, 요금, 장소",관광 체험 적합도 높음. P2,관광 체험 적합도 높음. P2,P2,researched_not_implemented,,Verified candidate; requires a source-specific contract and policy approval.,official_page_verified,2026-07-15,docs/research/regional-portals.md
regional_portals:045,regional_portals,45,익산글로벌문화관 교육·체험 예약,https://www.iksan.go.kr/global/,,200; robots 주요 UA 허용,".iksan CMS; 다문화 교육·체험, 일정, 대상, 모집상태",초등·가족 대상 필터. P2,초등·가족 대상 필터. P2,P2,researched_not_implemented,,Verified candidate; requires a source-specific contract and policy approval.,official_page_verified,2026-07-15,docs/research/regional-portals.md
regional_portals:046,regional_portals,46,김제시 통합예약,https://www.gimje.go.kr/reserve/index.gimje,,200; robots는 검색·게시판 일부 제한,".gimje CMS; 교육·체험, 신청/운영일, 대상, 상태",지역 DOM CMS 변형. P2,지역 DOM CMS 변형. P2,P2,researched_not_implemented,,Verified candidate; requires a source-specific contract and policy approval.,official_page_verified,2026-07-15,docs/research/regional-portals.md
regional_portals:047,regional_portals,47,전라남도교육청 통합예약 체험,https://yeyak.jne.kr/yeyak/exprn/selectExprnList.do?mi=10205166,,200; robots는 검색·일부 게시판만 차단,"교육청 공통 키; 기관, 체험명, 운영/신청기간, 대상, 상태",교육청 공통 어댑터. P1,교육청 공통 어댑터. P1,P1,implemented_opt_in,jeonnam_education_experience,"Shared education-office adapter; public list/detail GET only, no application.",official_page_verified,2026-07-15,docs/research/regional-portals.md
regional_portals:048,regional_portals,48,여수시 OK통합예약,https://www.yeosu.go.kr/newok/,,200; robots 허용,"VR체험, 이순신 스토리워크, 환경 견학 등; 프로그램·회차·대상·상태",체험 카테고리 우선. P1,체험 카테고리 우선. P1,P1,researched_not_implemented,,Verified candidate; requires a source-specific contract and policy approval.,official_page_verified,2026-07-15,docs/research/regional-portals.md
regional_portals:049,regional_portals,49,순천시 바로예약,https://www.suncheon.go.kr/yeyak/,,200; robots는 CMS·투표 일부 제한,"교육강좌·체험 SSR, 제목·기관·기간·대상·상태",하루 1회. P2,하루 1회. P2,P2,researched_not_implemented,,Verified candidate; requires a source-specific contract and policy approval.,official_page_verified,2026-07-15,docs/research/regional-portals.md
regional_portals:050,regional_portals,50,곡성교육포털,https://www.gokmg.or.kr/edu/,,"구 군청 URL이 현 포털로 연결; 200, robots 404","통합 프로그램 예약·온라인 결제, 제목·기관·일정·대상·정원",결제/신청은 제외하고 공개 목록만. P2,결제/신청은 제외하고 공개 목록만. P2,P2,researched_not_implemented,,Verified candidate; requires a source-specific contract and policy approval.,official_page_verified,2026-07-15,docs/research/regional-portals.md
regional_portals:051,regional_portals,51,경상북도교육청 온체험 통합예약,https://www.gbe.kr/edushare/exprn/selectExprnList.do?mi=17609,,200; robots는 편집기 경로만 차단,"교육청 공통 키. 기관 AJAX POST /edushare/rs/search/selectRsTypeDetailList.do + rsType=exprn이 rsSysId, rsSysNm JSON 반환; 프로그램 옵션 AJAX와 공개 상세",실응답 fixture 보유. P1,실응답 fixture 보유. P1,P1,implemented_opt_in,gyeongbuk_education_experience,Public list only; runtime robots fail-closed; no detail or reservation calls.,official_page_verified,2026-07-15,docs/research/regional-portals.md
regional_portals:052,regional_portals,52,상주시 통합예약,https://www.sangju.go.kr/reserve/reservation/list.tc?mn=15375&searchTrgtClsfCd=RMS004001,,200; robots는 내부 경로 일부 외 허용,".tc; cyclNo, searchTrgtClsfCd, 제목, 접수/운영일, 대상, 정원, 상태",하루 1회. P2,하루 1회. P2,P2,researched_not_implemented,,Verified candidate; requires a source-specific contract and policy approval.,official_page_verified,2026-07-15,docs/research/regional-portals.md
regional_portals:053,regional_portals,53,봉화군 통합예약,https://www.bonghwa.go.kr/reservation/main.do,,200; robots Disallow: /,교육·체험·시설 통합 UI,자동 수집 금지. P3,자동 수집 금지. P3,P3,policy_or_access_blocked,,"No automated collector until an official API, permission, or partnership exists.",official_page_verified,2026-07-15,docs/research/regional-portals.md
regional_portals:054,regional_portals,54,경상남도교육청 통합예약,https://service.gne.go.kr/yeyak/trn/trnList.do?insttId=myhappy&mi=7124,,"현재 302로 /sso/agentInitProc.jsp 진입 후 루트 이동, 세션 필요",검색엔진에는 일부 체험 목록이 노출되지만 직접 목록은 SSO 의존,"세션 자동화 금지, 공개 피드 협의. P3","세션 자동화 금지, 공개 피드 협의. P3",P3,policy_or_access_blocked,,"No automated collector until an official API, permission, or partnership exists.",official_page_verified,2026-07-15,docs/research/regional-portals.md
regional_portals:055,regional_portals,55,창원시 일상플러스,https://www.changwon.go.kr/booking/,,200 후 /booking/main.web; robots Crawl-delay: 10,"교육강좌·견학체험·대관; .web, fcd, lectureId, 신청/운영일·대상·상태","10초 이상 간격, 하루 1회. P1","10초 이상 간격, 하루 1회. P1",P1,researched_not_implemented,,Verified candidate; requires a source-specific contract and policy approval.,official_page_verified,2026-07-15,docs/research/regional-portals.md
regional_portals:056,regional_portals,56,김해시 공공예약포털,https://www.gimhae.go.kr/yes/,,200 후 /yes/main.web; robots는 검색 등 일부만 제한,공공시설·교육·체험; .web 목록/상세 ID,하루 1회. P2,하루 1회. P2,P2,researched_not_implemented,,Verified candidate; requires a source-specific contract and policy approval.,official_page_verified,2026-07-15,docs/research/regional-portals.md
regional_portals:057,regional_portals,57,양산시 통합예약,https://www.yangsan.go.kr/booking/main.do,,200; robots는 시스템·검색·게시판 일부 제한,"공개 SSR; 체험·교육, 기간, 대상, 가격, 상태",하루 1회. P2,하루 1회. P2,P2,researched_not_implemented,,Verified candidate; requires a source-specific contract and policy approval.,official_page_verified,2026-07-15,docs/research/regional-portals.md
regional_portals:058,regional_portals,58,제주특별자치도교육청 기관 체험예약,https://org.jje.go.kr/jjeExperience/list.jje?menuCd=DOM_000000501001000000,,200; 일반 UA robots Disallow: /,".jje DOM CMS; experienceSid, 유형, 제목, 날짜, 장소, 상태",화면 자동 수집 금지. 아래 공개 파일 사용. P3,화면 자동 수집 금지. 아래 공개 파일 사용. P3,P3,policy_or_access_blocked,,"No automated collector until an official API, permission, or partnership exists.",official_page_verified,2026-07-15,docs/research/regional-portals.md
regional_portals:059,regional_portals,59,제주교육청 체험프로그램 공개데이터,https://www.data.go.kr/data/15146035/fileData.do,,공공데이터포털 공식 파일 데이터,"관리기관, 체험유형, 제목, 시작/종료, 기타일정, 신청 시작/종료, 정원/대기, 장소",갱신주기를 확인해 화면 대신 사용. 위치 기반 후보의 seed로 유용. P2,갱신주기를 확인해 화면 대신 사용. 위치 기반 후보의 seed로 유용. P2,P2,researched_not_implemented,,Verified candidate; requires a source-specific contract and policy approval.,official_page_verified,2026-07-15,docs/research/regional-portals.md
regional_portals:060,regional_portals,60,한국문화관광해설사중앙협의회 지역별 예약,https://www.kctg.or.kr/reservation/apply01.do,,200; robots는 공통·검색 일부 외 허용,"시도·관광지 선택, 프로그램/일정/신청 링크",지자체 누락 지역의 보완용. P2,지자체 누락 지역의 보완용. P2,P2,researched_not_implemented,,Verified candidate; requires a source-specific contract and policy approval.,official_page_verified,2026-07-15,docs/research/regional-portals.md
