source_id,name,owner,source_type,official_url,license_code,requires_key,enabled_by_default,policy_status,notes,key_gated,operational_mode
standard_national_child_festivals,전국 문화축제 어린이 체험,문화체육관광부·한국관광공사·지방자치단체,public_standard_api,https://www.data.go.kr/data/15013104/standard.do,PUBLIC-DATA-STANDARD,DATA_GO_KR_SERVICE_KEY,False,approved_api,"Quarterly nationwide aggregate. Only festivals whose official name or description explicitly mentions experiences, children, families, or kids are emitted.",True,key_and_explicit_opt_in
ggc_gyeonggi_child_events,지지씨 경기도 어린이·교육·체험 가능 행사,경기문화재단,open_api,https://ggc.ggcf.kr/openAPI,TERMS-REVIEW-REQUIRED,,True,approved_api,"Official documented public Open API; keyless low-frequency GET. API linkage is documented, but downstream reuse terms and attribution must be reviewed; data is not represented as MIT-licensed. Reads list metadata only and never calls reservation, application, payment, login, or queue endpoints. Broad education possibilities are stored with a low child score unless the public text has child evidence.",False,default
ggcf_gyeonggi_jang_programs,"컬처라운지 경기,장 어린이·가족 프로그램",경기문화재단,reviewed_public_json_html,https://www.ggcf.kr/events,,,False,reviewed_public_json_html,"Official GGCF events/education JSON list plus factual public detail HTML only. Exact-space filtering avoids ordinary stadium false positives. The official Instagram account is discovery-only; no Instagram, Naver booking, login, application, captcha, or reservation submission endpoint is called.",False,explicit_opt_in
ggcf_affiliate_child_programs,경기문화재단 산하기관 어린이·체험 프로그램,경기문화재단,reviewed_public_json,https://www.ggcf.kr/edus,,,False,reviewed_public_json,"Foundation-wide official public JSON result lists with runtime robots checks. Reads factual list metadata only; no detail fetch, reservation, application, login, payment, queue, or external booking request. The dedicated 경기,장 connector owns that venue to prevent duplicates.",False,explicit_opt_in
jeonnam_provincial_art_education,전남도립미술관 어린이·가족 교육,전남도립미술관,open_api,https://www.data.go.kr/data/15159552/openapi.do,OPEN-DATA,DATA_GO_KR_SERVICE_KEY,False,approved_api,Official list/detail API. List rows are filtered for explicit child or family targets before detail calls.,True,key_and_explicit_opt_in
odcloud_rural_experiences,전국 농촌체험휴양마을 체험프로그램,한국농어촌공사,odcloud_api,https://www.data.go.kr/data/15148474/fileData.do,OPEN-DATA-NO-RESTRICTION,DATA_GO_KR_SERVICE_KEY,False,approved_api,ODCloud auto-converted public dataset; freshness follows the dataset update cycle.,True,key_and_explicit_opt_in
odcloud_nibr_education,국립생물자원관 교육프로그램,국립생물자원관,odcloud_api,https://www.data.go.kr/data/15149734/fileData.do,KOGL-1,DATA_GO_KR_SERVICE_KEY,False,approved_api,ODCloud auto-converted public dataset; freshness follows the dataset update cycle.,True,key_and_explicit_opt_in
odcloud_mabik_education,국립해양생물자원관 교육프로그램,국립해양생물자원관,odcloud_api,https://www.data.go.kr/data/15154211/fileData.do,OPEN-DATA-NO-RESTRICTION,DATA_GO_KR_SERVICE_KEY,False,approved_api,ODCloud auto-converted public dataset; freshness follows the dataset update cycle.,True,key_and_explicit_opt_in
odcloud_independence_education,독립기념관 교육프로그램,독립기념관,odcloud_api,https://www.data.go.kr/data/15072463/fileData.do,OPEN-DATA-NO-RESTRICTION,DATA_GO_KR_SERVICE_KEY,False,approved_api,ODCloud auto-converted public dataset; freshness follows the dataset update cycle.,True,key_and_explicit_opt_in
odcloud_mmca_education,국립현대미술관 교육프로그램,국립현대미술관,odcloud_api,https://www.data.go.kr/data/15156786/fileData.do,OPEN-DATA,DATA_GO_KR_SERVICE_KEY,False,approved_api,ODCloud auto-converted public dataset; freshness follows the dataset update cycle.,True,key_and_explicit_opt_in
odcloud_suwon_art_education,수원시립미술관 교육정보,경기도 수원시,odcloud_api,https://www.data.go.kr/data/15146620/fileData.do,OPEN-DATA-NO-RESTRICTION,DATA_GO_KR_SERVICE_KEY,False,approved_api,ODCloud auto-converted public dataset; freshness follows the dataset update cycle.,True,key_and_explicit_opt_in
odcloud_ulsan_children_themepark,울산시립어린이테마파크 놀이체험프로그램,울산시설공단,odcloud_api,https://www.data.go.kr/data/15087229/fileData.do,OPEN-DATA-NO-RESTRICTION,DATA_GO_KR_SERVICE_KEY,False,approved_api,ODCloud auto-converted public dataset; freshness follows the dataset update cycle.,True,key_and_explicit_opt_in
odcloud_nakdong_bioresource_education,국립낙동강생물자원관 교육정보,국립낙동강생물자원관,odcloud_api,https://www.data.go.kr/data/15039055/fileData.do,OPEN-DATA-NO-RESTRICTION,DATA_GO_KR_SERVICE_KEY,False,approved_api,ODCloud auto-converted public dataset; freshness follows the dataset update cycle.,True,key_and_explicit_opt_in
odcloud_korean_film_museum_education,한국영화박물관 교육프로그램,한국영상자료원,odcloud_api,https://www.data.go.kr/data/15116766/fileData.do,OPEN-DATA-NO-RESTRICTION,DATA_GO_KR_SERVICE_KEY,False,approved_api,ODCloud auto-converted public dataset; freshness follows the dataset update cycle.,True,key_and_explicit_opt_in
odcloud_yangcheon_community_courses,양천구 자치회관 어린이 프로그램,서울특별시 양천구,odcloud_api,https://www.data.go.kr/data/15037743/fileData.do,OPEN-DATA-NO-RESTRICTION,DATA_GO_KR_SERVICE_KEY,False,approved_api,ODCloud auto-converted public dataset; freshness follows the dataset update cycle.,True,key_and_explicit_opt_in
odcloud_gangjin_celadon_experiences,고려청자박물관 체험프로그램,전라남도 강진군,odcloud_api,https://www.data.go.kr/data/15041050/fileData.do,OPEN-DATA-NO-RESTRICTION,DATA_GO_KR_SERVICE_KEY,False,approved_api,ODCloud auto-converted public dataset; freshness follows the dataset update cycle.,True,key_and_explicit_opt_in
modu_museum_national_museum_korea,국립중앙박물관 어린이·가족 교육,국립중앙박물관,reviewed_public_html,https://modu.museum.go.kr/learn?museum=1&searchApplyStatus=ONGOING,,,False,reviewed_public_html,"Official MODU public list only; facts and canonical detail links only. No images, full descriptions, login, likes, or application calls.",False,explicit_opt_in
modu_museum_gyeongju,국립경주박물관 어린이·가족 교육,국립경주박물관,reviewed_public_html,https://modu.museum.go.kr/learn?museum=2&searchApplyStatus=ONGOING,,,False,reviewed_public_html,"Official MODU public list only; facts and canonical detail links only. No images, full descriptions, login, likes, or application calls.",False,explicit_opt_in
modu_museum_gwangju,국립광주박물관 어린이·가족 교육,국립광주박물관,reviewed_public_html,https://modu.museum.go.kr/learn?museum=3&searchApplyStatus=ONGOING,,,False,reviewed_public_html,"Official MODU public list only; facts and canonical detail links only. No images, full descriptions, login, likes, or application calls.",False,explicit_opt_in
modu_museum_jeonju,국립전주박물관 어린이·가족 교육,국립전주박물관,reviewed_public_html,https://modu.museum.go.kr/learn?museum=4&searchApplyStatus=ONGOING,,,False,reviewed_public_html,"Official MODU public list only; facts and canonical detail links only. No images, full descriptions, login, likes, or application calls.",False,explicit_opt_in
modu_museum_daegu,국립대구박물관 어린이·가족 교육,국립대구박물관,reviewed_public_html,https://modu.museum.go.kr/learn?museum=5&searchApplyStatus=ONGOING,,,False,reviewed_public_html,"Official MODU public list only; facts and canonical detail links only. No images, full descriptions, login, likes, or application calls.",False,explicit_opt_in
modu_museum_buyeo,국립부여박물관 어린이·가족 교육,국립부여박물관,reviewed_public_html,https://modu.museum.go.kr/learn?museum=6&searchApplyStatus=ONGOING,,,False,reviewed_public_html,"Official MODU public list only; facts and canonical detail links only. No images, full descriptions, login, likes, or application calls.",False,explicit_opt_in
modu_museum_gongju,국립공주박물관 어린이·가족 교육,국립공주박물관,reviewed_public_html,https://modu.museum.go.kr/learn?museum=7&searchApplyStatus=ONGOING,,,False,reviewed_public_html,"Official MODU public list only; facts and canonical detail links only. No images, full descriptions, login, likes, or application calls.",False,explicit_opt_in
modu_museum_jinju,국립진주박물관 어린이·가족 교육,국립진주박물관,reviewed_public_html,https://modu.museum.go.kr/learn?museum=8&searchApplyStatus=ONGOING,,,False,reviewed_public_html,"Official MODU public list only; facts and canonical detail links only. No images, full descriptions, login, likes, or application calls.",False,explicit_opt_in
modu_museum_cheongju,국립청주박물관 어린이·가족 교육,국립청주박물관,reviewed_public_html,https://modu.museum.go.kr/learn?museum=9&searchApplyStatus=ONGOING,,,False,reviewed_public_html,"Official MODU public list only; facts and canonical detail links only. No images, full descriptions, login, likes, or application calls.",False,explicit_opt_in
modu_museum_gimhae,국립김해박물관 어린이·가족 교육,국립김해박물관,reviewed_public_html,https://modu.museum.go.kr/learn?museum=10&searchApplyStatus=ONGOING,,,False,reviewed_public_html,"Official MODU public list only; facts and canonical detail links only. No images, full descriptions, login, likes, or application calls.",False,explicit_opt_in
modu_museum_jeju,국립제주박물관 어린이·가족 교육,국립제주박물관,reviewed_public_html,https://modu.museum.go.kr/learn?museum=11&searchApplyStatus=ONGOING,,,False,reviewed_public_html,"Official MODU public list only; facts and canonical detail links only. No images, full descriptions, login, likes, or application calls.",False,explicit_opt_in
modu_museum_chuncheon,국립춘천박물관 어린이·가족 교육,국립춘천박물관,reviewed_public_html,https://modu.museum.go.kr/learn?museum=12&searchApplyStatus=ONGOING,,,False,reviewed_public_html,"Official MODU public list only; facts and canonical detail links only. No images, full descriptions, login, likes, or application calls.",False,explicit_opt_in
modu_museum_naju,국립나주박물관 어린이·가족 교육,국립나주박물관,reviewed_public_html,https://modu.museum.go.kr/learn?museum=13&searchApplyStatus=ONGOING,,,False,reviewed_public_html,"Official MODU public list only; facts and canonical detail links only. No images, full descriptions, login, likes, or application calls.",False,explicit_opt_in
modu_museum_iksan,국립익산박물관 어린이·가족 교육,국립익산박물관,reviewed_public_html,https://modu.museum.go.kr/learn?museum=14&searchApplyStatus=ONGOING,,,False,reviewed_public_html,"Official MODU public list only; facts and canonical detail links only. No images, full descriptions, login, likes, or application calls.",False,explicit_opt_in
koagi_baekdudaegan_education,국립백두대간수목원 어린이·가족 교육,국립백두대간수목원,reviewed_public_html,https://reserve.koagi.or.kr/reserve/edc/prgrm/aply/BD_selectReserveEdcPrgrmList.do?q_siteSeq=2,,,False,reviewed_public_html,"Official KOAGI public education list only; factual labels and canonical detail links only. Its semantic robots 404 is handled as no rules under RFC 9309 section 2.3.1.3; ambiguous HTML/WAF and 5xx still fail closed. No images, full descriptions, login, or application calls.",False,explicit_opt_in
koagi_sejong_education,국립세종수목원 어린이·가족 교육,국립세종수목원,reviewed_public_html,https://reserve.koagi.or.kr/reserve/edc/prgrm/aply/BD_selectReserveEdcPrgrmList.do?q_siteSeq=3,,,False,reviewed_public_html,"Official KOAGI public education list only; factual labels and canonical detail links only. Its semantic robots 404 is handled as no rules under RFC 9309 section 2.3.1.3; ambiguous HTML/WAF and 5xx still fail closed. No images, full descriptions, login, or application calls.",False,explicit_opt_in
koagi_native_plants_education,국립한국자생식물원 어린이·가족 교육,국립한국자생식물원,reviewed_public_html,https://reserve.koagi.or.kr/reserve/edc/prgrm/aply/BD_selectReserveEdcPrgrmList.do?q_siteSeq=4,,,False,reviewed_public_html,"Official KOAGI public education list only; factual labels and canonical detail links only. Its semantic robots 404 is handled as no rules under RFC 9309 section 2.3.1.3; ambiguous HTML/WAF and 5xx still fail closed. No images, full descriptions, login, or application calls.",False,explicit_opt_in
koagi_garden_culture_education,국립정원문화원 어린이·가족 교육,국립정원문화원,reviewed_public_html,https://reserve.koagi.or.kr/reserve/edc/prgrm/aply/BD_selectReserveEdcPrgrmList.do?q_siteSeq=5,,,False,reviewed_public_html,"Official KOAGI public education list only; factual labels and canonical detail links only. Its semantic robots 404 is handled as no rules under RFC 9309 section 2.3.1.3; ambiguous HTML/WAF and 5xx still fail closed. No images, full descriptions, login, or application calls.",False,explicit_opt_in
knps_jirisan_trail_programs,지리산국립공원 어린이·가족 탐방프로그램,국립공원공단,reviewed_public_html_fragment,https://reservation.knps.or.kr/trprogram/searchTrailProgram.do?deptId=B01,,,False,reviewed_public_list,"Official read-only trail-program list fragment. Runtime robots policy is always checked. Only list facts and the canonical information link are stored; no serviceGuide fetch, reservation submission, login, or NetFunnel endpoint is called. Child filtering is conservative and title-based.",False,explicit_opt_in
knps_hallyeohaesang_trail_programs,한려해상국립공원 어린이·가족 탐방프로그램,국립공원공단,reviewed_public_html_fragment,https://reservation.knps.or.kr/trprogram/searchTrailProgram.do?deptId=B02,,,False,reviewed_public_list,"Official read-only trail-program list fragment. Runtime robots policy is always checked. Only list facts and the canonical information link are stored; no serviceGuide fetch, reservation submission, login, or NetFunnel endpoint is called. Child filtering is conservative and title-based.",False,explicit_opt_in
knps_seoraksan_trail_programs,설악산국립공원 어린이·가족 탐방프로그램,국립공원공단,reviewed_public_html_fragment,https://reservation.knps.or.kr/trprogram/searchTrailProgram.do?deptId=B03,,,False,reviewed_public_list,"Official read-only trail-program list fragment. Runtime robots policy is always checked. Only list facts and the canonical information link are stored; no serviceGuide fetch, reservation submission, login, or NetFunnel endpoint is called. Child filtering is conservative and title-based.",False,explicit_opt_in
knps_naejangsan_trail_programs,내장산국립공원 어린이·가족 탐방프로그램,국립공원공단,reviewed_public_html_fragment,https://reservation.knps.or.kr/trprogram/searchTrailProgram.do?deptId=B04,,,False,reviewed_public_list,"Official read-only trail-program list fragment. Runtime robots policy is always checked. Only list facts and the canonical information link are stored; no serviceGuide fetch, reservation submission, login, or NetFunnel endpoint is called. Child filtering is conservative and title-based.",False,explicit_opt_in
knps_deogyusan_trail_programs,덕유산국립공원 어린이·가족 탐방프로그램,국립공원공단,reviewed_public_html_fragment,https://reservation.knps.or.kr/trprogram/searchTrailProgram.do?deptId=B05,,,False,reviewed_public_list,"Official read-only trail-program list fragment. Runtime robots policy is always checked. Only list facts and the canonical information link are stored; no serviceGuide fetch, reservation submission, login, or NetFunnel endpoint is called. Child filtering is conservative and title-based.",False,explicit_opt_in
knps_odaesan_trail_programs,오대산국립공원 어린이·가족 탐방프로그램,국립공원공단,reviewed_public_html_fragment,https://reservation.knps.or.kr/trprogram/searchTrailProgram.do?deptId=B06,,,False,reviewed_public_list,"Official read-only trail-program list fragment. Runtime robots policy is always checked. Only list facts and the canonical information link are stored; no serviceGuide fetch, reservation submission, login, or NetFunnel endpoint is called. Child filtering is conservative and title-based.",False,explicit_opt_in
knps_juwangsan_trail_programs,주왕산국립공원 어린이·가족 탐방프로그램,국립공원공단,reviewed_public_html_fragment,https://reservation.knps.or.kr/trprogram/searchTrailProgram.do?deptId=B07,,,False,reviewed_public_list,"Official read-only trail-program list fragment. Runtime robots policy is always checked. Only list facts and the canonical information link are stored; no serviceGuide fetch, reservation submission, login, or NetFunnel endpoint is called. Child filtering is conservative and title-based.",False,explicit_opt_in
knps_taeanhaean_trail_programs,태안해안국립공원 어린이·가족 탐방프로그램,국립공원공단,reviewed_public_html_fragment,https://reservation.knps.or.kr/trprogram/searchTrailProgram.do?deptId=B08,,,False,reviewed_public_list,"Official read-only trail-program list fragment. Runtime robots policy is always checked. Only list facts and the canonical information link are stored; no serviceGuide fetch, reservation submission, login, or NetFunnel endpoint is called. Child filtering is conservative and title-based.",False,explicit_opt_in
knps_dadohaehaesang_trail_programs,다도해해상국립공원 어린이·가족 탐방프로그램,국립공원공단,reviewed_public_html_fragment,https://reservation.knps.or.kr/trprogram/searchTrailProgram.do?deptId=B09,,,False,reviewed_public_list,"Official read-only trail-program list fragment. Runtime robots policy is always checked. Only list facts and the canonical information link are stored; no serviceGuide fetch, reservation submission, login, or NetFunnel endpoint is called. Child filtering is conservative and title-based.",False,explicit_opt_in
knps_chiaksan_trail_programs,치악산국립공원 어린이·가족 탐방프로그램,국립공원공단,reviewed_public_html_fragment,https://reservation.knps.or.kr/trprogram/searchTrailProgram.do?deptId=B10,,,False,reviewed_public_list,"Official read-only trail-program list fragment. Runtime robots policy is always checked. Only list facts and the canonical information link are stored; no serviceGuide fetch, reservation submission, login, or NetFunnel endpoint is called. Child filtering is conservative and title-based.",False,explicit_opt_in
knps_woraksan_trail_programs,월악산국립공원 어린이·가족 탐방프로그램,국립공원공단,reviewed_public_html_fragment,https://reservation.knps.or.kr/trprogram/searchTrailProgram.do?deptId=B11,,,False,reviewed_public_list,"Official read-only trail-program list fragment. Runtime robots policy is always checked. Only list facts and the canonical information link are stored; no serviceGuide fetch, reservation submission, login, or NetFunnel endpoint is called. Child filtering is conservative and title-based.",False,explicit_opt_in
knps_sobaeksan_trail_programs,소백산국립공원 어린이·가족 탐방프로그램,국립공원공단,reviewed_public_html_fragment,https://reservation.knps.or.kr/trprogram/searchTrailProgram.do?deptId=B12,,,False,reviewed_public_list,"Official read-only trail-program list fragment. Runtime robots policy is always checked. Only list facts and the canonical information link are stored; no serviceGuide fetch, reservation submission, login, or NetFunnel endpoint is called. Child filtering is conservative and title-based.",False,explicit_opt_in
knps_gayasan_trail_programs,가야산국립공원 어린이·가족 탐방프로그램,국립공원공단,reviewed_public_html_fragment,https://reservation.knps.or.kr/trprogram/searchTrailProgram.do?deptId=B13,,,False,reviewed_public_list,"Official read-only trail-program list fragment. Runtime robots policy is always checked. Only list facts and the canonical information link are stored; no serviceGuide fetch, reservation submission, login, or NetFunnel endpoint is called. Child filtering is conservative and title-based.",False,explicit_opt_in
knps_bukhansan_trail_programs,북한산국립공원 어린이·가족 탐방프로그램,국립공원공단,reviewed_public_html_fragment,https://reservation.knps.or.kr/trprogram/searchTrailProgram.do?deptId=B14,,,False,reviewed_public_list,"Official read-only trail-program list fragment. Runtime robots policy is always checked. Only list facts and the canonical information link are stored; no serviceGuide fetch, reservation submission, login, or NetFunnel endpoint is called. Child filtering is conservative and title-based.",False,explicit_opt_in
knps_gyeongju_trail_programs,경주국립공원 어린이·가족 탐방프로그램,국립공원공단,reviewed_public_html_fragment,https://reservation.knps.or.kr/trprogram/searchTrailProgram.do?deptId=B15,,,False,reviewed_public_list,"Official read-only trail-program list fragment. Runtime robots policy is always checked. Only list facts and the canonical information link are stored; no serviceGuide fetch, reservation submission, login, or NetFunnel endpoint is called. Child filtering is conservative and title-based.",False,explicit_opt_in
knps_gyeryongsan_trail_programs,계룡산국립공원 어린이·가족 탐방프로그램,국립공원공단,reviewed_public_html_fragment,https://reservation.knps.or.kr/trprogram/searchTrailProgram.do?deptId=B16,,,False,reviewed_public_list,"Official read-only trail-program list fragment. Runtime robots policy is always checked. Only list facts and the canonical information link are stored; no serviceGuide fetch, reservation submission, login, or NetFunnel endpoint is called. Child filtering is conservative and title-based.",False,explicit_opt_in
knps_mudeungsan_trail_programs,무등산국립공원 어린이·가족 탐방프로그램,국립공원공단,reviewed_public_html_fragment,https://reservation.knps.or.kr/trprogram/searchTrailProgram.do?deptId=B17,,,False,reviewed_public_list,"Official read-only trail-program list fragment. Runtime robots policy is always checked. Only list facts and the canonical information link are stored; no serviceGuide fetch, reservation submission, login, or NetFunnel endpoint is called. Child filtering is conservative and title-based.",False,explicit_opt_in
knps_byeonsanbando_trail_programs,변산반도국립공원 어린이·가족 탐방프로그램,국립공원공단,reviewed_public_html_fragment,https://reservation.knps.or.kr/trprogram/searchTrailProgram.do?deptId=B18,,,False,reviewed_public_list,"Official read-only trail-program list fragment. Runtime robots policy is always checked. Only list facts and the canonical information link are stored; no serviceGuide fetch, reservation submission, login, or NetFunnel endpoint is called. Child filtering is conservative and title-based.",False,explicit_opt_in
knps_songnisan_trail_programs,속리산국립공원 어린이·가족 탐방프로그램,국립공원공단,reviewed_public_html_fragment,https://reservation.knps.or.kr/trprogram/searchTrailProgram.do?deptId=B19,,,False,reviewed_public_list,"Official read-only trail-program list fragment. Runtime robots policy is always checked. Only list facts and the canonical information link are stored; no serviceGuide fetch, reservation submission, login, or NetFunnel endpoint is called. Child filtering is conservative and title-based.",False,explicit_opt_in
knps_wolchulsan_trail_programs,월출산국립공원 어린이·가족 탐방프로그램,국립공원공단,reviewed_public_html_fragment,https://reservation.knps.or.kr/trprogram/searchTrailProgram.do?deptId=B20,,,False,reviewed_public_list,"Official read-only trail-program list fragment. Runtime robots policy is always checked. Only list facts and the canonical information link are stored; no serviceGuide fetch, reservation submission, login, or NetFunnel endpoint is called. Child filtering is conservative and title-based.",False,explicit_opt_in
knps_taebaeksan_trail_programs,태백산국립공원 어린이·가족 탐방프로그램,국립공원공단,reviewed_public_html_fragment,https://reservation.knps.or.kr/trprogram/searchTrailProgram.do?deptId=B22,,,False,reviewed_public_list,"Official read-only trail-program list fragment. Runtime robots policy is always checked. Only list facts and the canonical information link are stored; no serviceGuide fetch, reservation submission, login, or NetFunnel endpoint is called. Child filtering is conservative and title-based.",False,explicit_opt_in
knps_palgongsan_trail_programs,팔공산국립공원 어린이·가족 탐방프로그램,국립공원공단,reviewed_public_html_fragment,https://reservation.knps.or.kr/trprogram/searchTrailProgram.do?deptId=B25,,,False,reviewed_public_list,"Official read-only trail-program list fragment. Runtime robots policy is always checked. Only list facts and the canonical information link are stored; no serviceGuide fetch, reservation submission, login, or NetFunnel endpoint is called. Child filtering is conservative and title-based.",False,explicit_opt_in
kywa_central_camp_programs,국립중앙청소년수련원 공개 캠프,한국청소년활동진흥원,public_json,https://booking.kywa.or.kr/reservation/campReservationList.do?center=nyc,,,False,reviewed_public_json,"Public camp-list JSON only after a runtime robots check. The crawler never fetches login, application, payment, waiting-list, or reservation-submission endpoints; the public detail URL is stored only.",False,explicit_opt_in
kywa_pyeongchang_camp_programs,국립평창청소년수련원 공개 캠프,한국청소년활동진흥원,public_json,https://booking.kywa.or.kr/reservation/campReservationList.do?center=pnyc,,,False,reviewed_public_json,"Public camp-list JSON only after a runtime robots check. The crawler never fetches login, application, payment, waiting-list, or reservation-submission endpoints; the public detail URL is stored only.",False,explicit_opt_in
kywa_space_camp_programs,국립청소년우주센터 공개 캠프,한국청소년활동진흥원,public_json,https://booking.kywa.or.kr/reservation/campReservationList.do?center=nysc,,,False,reviewed_public_json,"Public camp-list JSON only after a runtime robots check. The crawler never fetches login, application, payment, waiting-list, or reservation-submission endpoints; the public detail URL is stored only.",False,explicit_opt_in
kywa_bio_camp_programs,국립청소년바이오생명센터 공개 캠프,한국청소년활동진흥원,public_json,https://booking.kywa.or.kr/reservation/campReservationList.do?center=nyac,,,False,reviewed_public_json,"Public camp-list JSON only after a runtime robots check. The crawler never fetches login, application, payment, waiting-list, or reservation-submission endpoints; the public detail URL is stored only.",False,explicit_opt_in
kywa_ocean_camp_programs,국립청소년해양센터 공개 캠프,한국청소년활동진흥원,public_json,https://booking.kywa.or.kr/reservation/campReservationList.do?center=nyoc,,,False,reviewed_public_json,"Public camp-list JSON only after a runtime robots check. The crawler never fetches login, application, payment, waiting-list, or reservation-submission endpoints; the public detail URL is stored only.",False,explicit_opt_in
kywa_future_environment_camp_programs,국립청소년미래환경센터 공개 캠프,한국청소년활동진흥원,public_json,https://booking.kywa.or.kr/reservation/campReservationList.do?center=nyfc,,,False,reviewed_public_json,"Public camp-list JSON only after a runtime robots check. The crawler never fetches login, application, payment, waiting-list, or reservation-submission endpoints; the public detail URL is stored only.",False,explicit_opt_in
kywa_ecology_camp_programs,국립청소년생태센터 공개 캠프,한국청소년활동진흥원,public_json,https://booking.kywa.or.kr/reservation/campReservationList.do?center=nyec,,,False,reviewed_public_json,"Public camp-list JSON only after a runtime robots check. The crawler never fetches login, application, payment, waiting-list, or reservation-submission endpoints; the public detail URL is stored only.",False,explicit_opt_in
gyeongbuk_education_experience,경상북도교육청 온체험 견학·체험,경상북도교육청,approved_html,https://www.gbe.kr/edushare/exprn/selectExprnList.do?mi=17609,,,False,approved_html,"Public institution discovery and list pages only. Runtime robots check; no login, detail-page fetch, or reservation submission.",False,explicit_opt_in
incheon_education_experience,인천광역시교육청 견학·체험,인천광역시교육청,approved_html,https://www.ice.go.kr/ice/exprn/selectExprnList.do?mi=11607,,,False,approved_html,"Official public list and information-detail GET only. Runtime robots check; no login, identity verification, availability, or application endpoint.",False,explicit_opt_in
busan_education_experience,부산광역시교육청 견학·체험,부산광역시교육청,approved_html,https://home.pen.go.kr/yeyak/exprn/selectExprnList.do?mi=14438&contestAt=N,,,False,approved_html,"Official public list and information-detail GET only. Runtime robots check; no login, identity verification, availability, or application endpoint.",False,explicit_opt_in
chungbuk_education_experience,충청북도교육청 견학·체험,충청북도교육청,approved_html,https://www.cbe.go.kr/yeyak/exprn/selectExprnList.do?mi=11424,,,False,approved_html,"Official public list and information-detail GET only. Runtime robots check; no login, identity verification, availability, or application endpoint.",False,explicit_opt_in
jeonnam_education_experience,전남광주통합특별시교육청 견학·체험,전남광주통합특별시교육청,approved_html,https://yeyak.jne.kr/yeyak/exprn/selectExprnList.do?mi=10205166,,,False,approved_html,"Official public list and information-detail GET only. Runtime robots check; no login, identity verification, availability, or application endpoint.",False,explicit_opt_in
geumcheon_education_reservation,금천구 통합예약 어린이 교육,서울특별시 금천구,public_html,https://www.geumcheon.go.kr/reserve/webEdcLctreList.do?key=112&rep=1,,,False,approved_html,"Official public list and factual information detail GET only. No login, application, reservation submission, images, or full description collection. Runtime robots check is mandatory.",False,explicit_opt_in
